url,price,title
https://www.olx.in/item/black-home-theater-system-set-ID1f7nTR.html,19000,Black Home Theater System Set
https://www.olx.in/item/32-sony-flat-screen-smart-television-with-box-ID1eNE03.html,11999,"32""Sony Flat Screen smart Television With Box"
https://www.olx.in/item/gray-widescreen-crt-tv-ID1fbpNf.html,3500,Gray Widescreen CRT TV
https://www.olx.in/item/sony-black-multimedia-speakers-3-months-service-warrenty-available-ID1fqdLh.html,9800,Sony Black Multimedia Speakers. 3 months service warrenty Available.
https://www.olx.in/item/tag-hdd-case-usb-2-0-ID1fqdi9.html,350,Tag Hdd case usb 2.0
https://www.olx.in/item/levis-multi-utility-wallet-for-cards-and-cash-ID1fqdKP.html,400,Levis multi utility wallet for cards and cash
https://www.olx.in/item/black-flat-screen-tv-ID1fqcMP.html,5000,Black Flat Screen TV
https://www.olx.in/item/speaker-for-sale-ID1fqb47.html,4000,Speaker for sale
https://www.olx.in/item/black-crt-tv-ID1fqcFl.html,3000,Black CRT TV
https://www.olx.in/item/32-sony-led-tv-full-hd-with-warranty-ID1djy01.html,9499,"32"" Sony LED TV full hd with warranty"
https://www.olx.in/item/sony-hifi-2600-watt-pmpo-music-system-working-ID1fqcPD.html,4000,Sony hifi 2600 watt pmpo music system working
https://www.olx.in/item/desktop-in-good-condition-only-2-month-use-ID1fqcPW.html,3000,Desktop in good condition...only 2 month use ...
https://www.olx.in/item/philips-dvd-player-less-used-100-working-ID1bhrOJ.html,1150,Philips DVD player less used .100% working
https://www.olx.in/item/black-corde-headset-ID1dJSu3.html,399,Black Corde Headset
https://www.olx.in/item/lg-flat-screen-television-ID1fqcPT.html,4000,LG Flat Screen Television
https://www.olx.in/item/flyball-5-1-multichannel-woth-fm-radio-remote-ID1fqcQr.html,2000,Flyball 5.1 multichannel woth FM RADIO+ Remote
https://www.olx.in/item/flat-screen-television-ID1fqcSL.html,13000,Flat Screen Television
https://www.olx.in/item/steel-series-headphone-not-used-original-product-ID1faQ8h.html,4500,Steel series headphone.Not used.Original product
https://www.olx.in/item/well-condition-sony-trintron-flat-color-tv-for-ID1fqcTd.html,5000,Well Condition SONY TRINTRON Flat Color TV for
https://www.olx.in/item/black-flat-screen-tv-with-remote-ID1fqcU7.html,4000,Black Flat Screen TV With Remote
https://www.olx.in/item/no-drive-your-repair-vhs-case-collections-ID1f2o7j.html,750,No drive & your repair VHS Case Collections
https://www.olx.in/item/sony-radio-cassette-player-model-cfs-515s-ID1fqcWf.html,1200,Sony Radio & cassette player. Model CFS-515s
https://www.olx.in/item/this-is-mobile-speaker-i-have-taken-for-700-one-ID1fqcWT.html,300,This is mobile speaker. I have taken for 700 one
https://www.olx.in/item/dishtv-hd-setup-box-with-complete-installation-ID1fqaZH.html,1199,Dishtv hd setup box with complete installation
https://www.olx.in/item/new-led-22-inch-3800-24-inch-6800-32-inch-9800-40-inch-14500-ID1fqcYp.html,3800,"New led 22 inch ""3800"" 24 inch ""6800"" 32 inch ""9800"" 40 inch ""14500"""
https://www.olx.in/item/multi-purpose-tv-cabinet-ID1fqcXh.html,3500,Multi purpose TV cabinet
https://www.olx.in/item/sony-wega-21-inch-for-sale-at-4500-ID1fqcZL.html,4500,Sony wega 21 inch for sale at 4500
https://www.olx.in/item/setup-box-new-hathway-very-good-condition-plz-call-9015-2783-49-ID1fqd1w.html,800,Setup Box new Hathway very good condition plz call 9015.2783.49
https://www.olx.in/item/two-black-dj-speakers-with-amplifier-ID1fqd2N.html,3999,Two Black dj Speakers with amplifier
https://www.olx.in/item/multimedia-speaker-ID1fqcYf.html,3000,Multimedia speaker
https://www.olx.in/item/cathode-ray-tube-television-ID1fqd3D.html,2500,Cathode Ray Tube  Television
https://www.olx.in/item/black-creative-multimedia-speaker-ID1fqd57.html,300,Black Creative Multimedia Speaker
https://www.olx.in/item/32-sony-smart-led-only-13500-new-ID1fqd7j.html,13500,32 .sony smart led only 13500 new
https://www.olx.in/item/samsung-22-inch-lcd-tv-in-full-working-condition-ID1fqd9j.html,9999,Samsung 22 inch lcd TV in full working condition.
https://www.olx.in/item/sony-bravia-32-inch-lcd-urgent-sell-ID1ehuAl.html,20000,Sony bravia 32 inch lcd urgent sell
https://www.olx.in/item/gray-crt-television-ID1fqd7P.html,2000,Gray CRT Television
https://www.olx.in/item/black-and-white-samsung-battery-ID1fqd45.html,400,Black And White Samsung Battery
https://www.olx.in/item/apple-airpods-model-a1602-excellent-condition-ID1fqdaw.html,5000,Apple Airpods Model A1602 Excellent Condition
https://www.olx.in/item/rectangular-white-power-bank-ID1fqc6b.html,300,Rectangular White Power Bank
https://www.olx.in/item/hathway-set-top-box-with-remote-control-ID1fqc4r.html,1000,Hathway set top box with remote control.
https://www.olx.in/item/50-inches-smart-led-tv-wifi-android-screen-ID1dU43j.html,30000,50' inches smart led TV. WiFi Android. screen
https://www.olx.in/item/silver-crt-tv-ID1d30dF.html,3000,Silver CRT TV
https://www.olx.in/item/32gb-memory-card-rs-400-ID1fqcTz.html,400,32gb memory card RS 400
https://www.olx.in/item/home-theater-5-1-philips-in-good-condition-no-complant-good-sound-ID1fqca9.html,1700,Home theater 5.1 philips ...in good condition.no complant...good sound
